year,actor1_country_code,actor2_country_code,event_count,num_mentions
2000-01-01,EUR,SYR,1,8
2000-01-01,FRA,AFG,9,18
2000-01-01,TUN,PSE,2,9
2000-01-01,SAF,TZA,1,8
2000-01-01,LBR,GIN,3,5
2000-01-01,GBR,LBY,1,1
2000-01-01,GIN,LBR,2,2
2000-01-01,POL,CHE,3,9
2000-01-01,FSM,PSE,3,8
2000-01-01,ECU,COL,1,4
2000-01-01,BEL,PSE,1,9
2000-01-01,DEU,RUS,1,6
2000-01-01,RUS,GBR,29,146
2000-01-01,DEU,WST,1,3
2000-01-01,PSE,CAN,1,14
2000-01-01,EUR,DJI,2,21
2000-01-01,CIV,FRA,2,3
2000-01-01,USA,SEA,1,1
2000-01-01,GIN,SLE,4,28
2000-01-01,ISR,SYR,3,18
2000-01-01,MOZ,NAM,1,7
2001-01-01,CHE,FRA,3,10
2001-01-01,CHE,VEN,8,45
2001-01-01,TJK,AFG,20,105
2001-01-01,EUR,AGO,1,6
2001-01-01,PSE,KWT,1,8
2001-01-01,ISR,EGY,1,2
2001-01-01,PRT,AGO,1,1
2001-01-01,IRQ,USA,2,6
2001-01-01,TUR,GRC,2,11
2001-01-01,BEL,VNM,1,9
2001-01-01,AFR,ZAF,1,1
2001-01-01,AFR,MOZ,2,6
2001-01-01,AFG,USA,5,22
2001-01-01,COD,RWA,6,14
2001-01-01,FRA,ESP,1,1
2001-01-01,THA,AFG,4,18
2001-01-01,UGA,RWA,3,12
2001-01-01,GBR,ZWE,1,1
2001-01-01,EGY,NLD,2,5
2001-01-01,PSE,NOR,2,4
2001-01-01,COL,VEN,8,45
2001-01-01,BEL,USA,1,8
2001-01-01,SRB,ALB,9,31
2001-01-01,EUR,JPN,2,6
2001-01-01,BDI,TZA,6,29
2001-01-01,COG,SEN,1,7
2001-01-01,EGY,ISR,1,9
2001-01-01,CUB,LBR,1,7
2001-01-01,TUR,USA,3,18
2001-01-01,RUS,KOR,3,4
2001-01-01,SEA,USA,4,17
2001-01-01,USA,TJK,3,19
2001-01-01,YEM,SAU,2,2
2001-01-01,USA,GBR,2,2
2001-01-01,NZL,NRU,2,14
2001-01-01,SAU,SLE,2,9
2001-01-01,SAU,DZA,2,10
2001-01-01,TJK,BLR,2,4
2001-01-01,PSE,ITA,1,2
2001-01-01,ITA,LBY,2,7
2001-01-01,FRA,CIV,2,6
2001-01-01,HUN,USA,1,4
2001-01-01,MYS,PAK,1,2
2001-01-01,KHM,VNM,1,3
2001-01-01,GBR,JPN,2,9
2001-01-01,CAN,USA,1,5
2001-01-01,IDN,AUS,3,14
2001-01-01,IRN,SLE,2,9
2001-01-01,CAN,ZWE,2,22
