year,event_count,num_mentions,actor1,actor2
2000-01-01,0.0038550501156515036,0.0026469031233456856,CH,HU
2000-01-01,0.0007710100231303007,0.0001764602082230457,CH,IR
2000-01-01,0.002313030069390902,0.0015881418740074113,CH,IT
2000-01-01,0.002313030069390902,0.0015881418740074113,CH,PL
2000-01-01,0.0007710100231303007,0.0012352214575613199,CH,SK
2000-01-01,0.0030840400925212026,0.0015881418740074113,CH,US
2000-01-01,0.0015420200462606013,0.0012352214575613199,CI,DE
2000-01-01,0.002313030069390902,0.0015881418740074113,CI,FR
2000-01-01,0.0007710100231303007,0.0001764602082230457,CI,NG
2000-01-01,0.0007710100231303007,0.0003529204164460914,CL,FR
2000-01-01,0.0007710100231303007,0.0001764602082230457,CN,ET
2000-01-01,0.0015420200462606013,0.0012352214575613199,CN,JP
