year,action_country_code,event_count,total_num_mentions
2001-01-01,FP,2,10
2001-01-01,FR,8865,39307
2001-01-01,GA,887,3760
2001-01-01,GB,149,876
2001-01-01,GG,1535,9172
2001-01-01,GH,1012,4510
2001-01-01,GI,55,261
2001-01-01,GJ,94,382
2001-01-01,GL,17,74
2001-01-01,GM,6935,31784
2001-01-01,GP,16,103
2001-01-01,GQ,37,220
2001-01-01,GR,1943,8250
2001-01-01,GT,644,2918
2001-01-01,GV,1212,6290
2001-01-01,GY,113,691
2001-01-01,GZ,5767,26291
2001-01-01,HA,1871,8047
2001-01-01,HK,965,5425
2001-01-01,HO,273,1079
2001-01-01,HR,4007,19075
2001-01-01,HU,938,4973
2001-01-01,IC,32,152
2001-01-01,ID,11390,60998
2001-01-01,IN,13048,68848
2001-01-01,IR,12353,63226
2001-01-01,IS,56892,345713
2001-01-01,IT,4978,23137
2001-01-01,IV,1074,6383
2001-01-01,IZ,6195,30933
2001-01-01,JA,7526,37953
2001-01-01,JE,26,90
2001-01-01,JM,349,1718
2001-01-01,JO,2367,10355
2001-01-01,JQ,2,8
2001-01-01,KE,6019,28197
2001-01-01,KG,910,4892
2001-01-01,KN,1278,6646
2001-01-01,KR,13,46
2001-01-01,KS,2401,12919
2001-01-01,KT,19,79
2001-01-01,KU,1154,5382
2001-01-01,KV,615,3088
2001-01-01,KZ,848,4519
2001-01-01,LA,359,1540
2001-01-01,LE,4722,17963
2001-01-01,LG,802,4137
2001-01-01,LH,610,2897
2001-01-01,LI,1573,7319
2001-01-01,LO,690,3440
2001-01-01,LS,34,142
2001-01-01,LT,89,450
2001-01-01,LU,62,302
2001-01-01,LY,1714,8435
2001-01-01,MA,35,132
2001-01-01,MB,18,70
2001-01-01,MC,91,428
2001-01-01,MD,288,1571
2001-01-01,MF,4,37
2001-01-01,MG,114,586
2001-01-01,MH,25,63
2001-01-01,MI,545,2811
2001-01-01,MJ,316,1234
2001-01-01,MK,13274,74880
2001-01-01,ML,137,659
2001-01-01,MN,7,27
2001-01-01,MO,733,3408
2001-01-01,MP,35,128
2001-01-01,MR,106,509
2001-01-01,MT,106,460
2001-01-01,MU,177,733
2001-01-01,MV,23,121
2001-01-01,MX,2812,11296
2001-01-01,MY,3446,16722
2001-01-01,MZ,674,3050
2001-01-01,NC,12,53
2001-01-01,NE,12,82
2001-01-01,NG,246,1471
2001-01-01,NH,91,414
2001-01-01,NI,11544,50423
2001-01-01,NL,2412,11120
2001-01-01,NO,1040,5584
2001-01-01,NP,3045,22588
2001-01-01,NR,41,256
2001-01-01,NS,58,274
2001-01-01,NT,3,15
2001-01-01,NU,138,575
2001-01-01,NZ,507,2366
2001-01-01,OC,193,868
2001-01-01,OD,7,33
2001-01-01,OS,332,1531
2001-01-01,PA,202,792
2001-01-01,PC,2,10
2001-01-01,PE,1915,8931
2001-01-01,PG,4,8
2001-01-01,PK,17487,83606
2001-01-01,PL,2010,9793
2001-01-01,PM,309,1293
2001-01-01,PO,871,4206
2001-01-01,PP,315,1598
2001-01-01,PS,14,84
2001-01-01,PU,329,1518
2001-01-01,QA,473,1976
2001-01-01,RB,7744,37468
2001-01-01,RE,3,11
2001-01-01,RI,3198,13350
2001-01-01,RM,45,205
2001-01-01,RO,1033,4460
2001-01-01,RP,13109,58897
2001-01-01,RQ,255,1109
2001-01-01,RS,30563,154682
2001-01-01,RW,3626,17734
2001-01-01,SA,3986,16812
2001-01-01,SC,2,3
2001-01-01,SE,169,751
2001-01-01,SF,7495,27959
2001-01-01,SG,852,4047
2001-01-01,SH,4,8
2001-01-01,SI,212,977
2001-01-01,SL,1814,9729
2001-01-01,SN,632,3570
2001-01-01,SO,2655,13428
2001-01-01,SP,4939,22414
2001-01-01,ST,23,83
2001-01-01,SU,2710,13093
2001-01-01,SW,1481,7189
2001-01-01,SY,2572,9617
2001-01-01,SZ,1626,7984
2001-01-01,TD,149,623
2001-01-01,TH,2940,14400
2001-01-01,TI,2708,13247
2001-01-01,TN,21,115
2001-01-01,TO,248,1238
2001-01-01,TP,18,128
2001-01-01,TS,463,1864
2001-01-01,TT,779,2983
2001-01-01,TU,6992,34111
2001-01-01,TV,7,35
2001-01-01,TW,1827,9529
2001-01-01,TX,227,1034
2001-01-01,TZ,2351,10895
2001-01-01,UG,5355,24205
2001-01-01,UK,14754,66581
2001-01-01,UP,2899,16171
2001-01-01,US,59252,256072
2001-01-01,UV,235,1205
2001-01-01,UY,62,238
2001-01-01,UZ,1596,6921
2001-01-01,VC,15,48
2001-01-01,VE,1226,5036
2001-01-01,VI,30,142
2001-01-01,VM,1890,8482
2001-01-01,VQ,10,43
2001-01-01,VT,16,83
2001-01-01,WA,1595,6577
2001-01-01,WE,11669,50467
2001-01-01,WI,23,80
2001-01-01,WQ,2,10
2001-01-01,WS,49,229
2001-01-01,WZ,363,2199
2001-01-01,YI,972,4383
2001-01-01,YM,1820,8323
2001-01-01,ZA,2233,9515
2001-01-01,ZI,4808,23870
2002-01-01,AA,8,16
2002-01-01,AC,30,102
2002-01-01,AE,513,1949
2002-01-01,AF,18237,84173
2002-01-01,AG,2957,13433
2002-01-01,AJ,1859,8971
2002-01-01,AL,2770,10829
2002-01-01,AM,840,4204
2002-01-01,AN,3,13
2002-01-01,AO,1970,7345
2002-01-01,AQ,4,51
2002-01-01,AR,1021,4013
2002-01-01,AS,4109,18521
2002-01-01,AU,652,2420
2002-01-01,AV,5,7
2002-01-01,AY,6,24
2002-01-01,BA,279,1347
2002-01-01,BB,53,205
2002-01-01,BC,166,713
2002-01-01,BD,48,184
2002-01-01,BE,1415,5572
2002-01-01,BF,61,234
2002-01-01,BG,2135,11212
2002-01-01,BH,22,56
2002-01-01,BK,1896,7812
2002-01-01,BL,323,1256
2002-01-01,BM,1922,9276
2002-01-01,BN,96,376
2002-01-01,BO,907,4456
2002-01-01,BP,274,1618
2002-01-01,BR,1227,4816
2002-01-01,BT,122,708
2002-01-01,BU,760,3266
2002-01-01,BX,111,545
2002-01-01,BY,2480,12592
2002-01-01,CA,2607,10541
2002-01-01,CB,1500,6706
2002-01-01,CD,381,1680
2002-01-01,CE,1526,7707
2002-01-01,CF,600,2915
2002-01-01,CG,1421,5299
2002-01-01,CH,8047,40038
2002-01-01,CI,434,1666
2002-01-01,CJ,2,8
2002-01-01,CM,282,1271
2002-01-01,CN,56,263
2002-01-01,CO,7302,31119
2002-01-01,CQ,1004,4401
2002-01-01,CS,110,354
2002-01-01,CT,462,2097
2002-01-01,CU,1590,6508
2002-01-01,CV,6,17
2002-01-01,CW,10,46
2002-01-01,CY,395,1536
2002-01-01,DA,1029,4037
2002-01-01,DJ,248,866
2002-01-01,DO,10,40
2002-01-01,DR,132,470
2002-01-01,EC,340,1381
2002-01-01,EG,4655,18571
2002-01-01,EI,1362,5794
2002-01-01,EK,163,784
2002-01-01,EN,188,891
2002-01-01,ER,464,2071
2002-01-01,ES,183,657
2002-01-01,ET,1695,7813
2002-01-01,EZ,1223,5617
2002-01-01,FG,12,41
2002-01-01,FI,297,1129
2002-01-01,FJ,505,2691
2002-01-01,FK,7,10
2002-01-01,FM,204,980
2002-01-01,FO,3,12
2002-01-01,FP,1,2
